"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"547";"9.5";"Marchitez bacteriana de la judía, Curtobacterium flaccumfaciens pv. flaccumfaciens";"Curtobacterium flaccumfaciens pv. flaccumfaciens";"CORBFL";;03/07/2024;03/07/2024;
"548";"9.6";"Dickeya spp.";"Dickeya spp.";"1DICKG";;03/07/2024;03/07/2024;
"549";"9.6.1";"Podredumbre bacteriana del tallo del maíz, Dickeya zeae";"Dickeya zeae";"ERWIZE";"También descrito como Erwinia chrysanthemi pv. Zeae.";03/07/2024;03/07/2024;
"550";"9.7";"Erwinia spp.";"Erwinia spp.";"1ERWIG";;03/07/2024;03/07/2024;
"551";"9.7.1";"Fuego bacteriano de las rosáceas, Erwinia amylovora";"Erwinia amylovora";"ERWIAM";;03/07/2024;03/07/2024;
"552";"9.7.2";"Erwinia persicina";"Erwinia persicina";"ERWIPE";;03/07/2024;03/07/2024;
"553";"9.8";"Podredumbre blanda, Pectobacterium carotovorum";"Pectobacterium carotovorum";"ERWICA";"También descrito como Erwinia carotovora subsp.carotovora.";03/07/2024;03/07/2024;
"554";"9.9";"Pseudomonas spp.";"Pseudomonas spp.";"1PSDMG";;03/07/2024;03/07/2024;
"555";"9.9.1";"Bacteria marginal, corazón negro de la endibia, Pseudomonas cichorii";"Pseudomonas cichorii";"PSDMCI";;03/07/2024;03/07/2024;
"556";"9.9.2";"Tuberculosis del olivo, Pseudomonas savastanoi pv. savastanoi";"Pseudomonas savastanoi pv. savastanoi";"PSDMSA";;03/07/2024;03/07/2024;
"557";"9.9.3";"Pseudomonas syringae";"Pseudomonas syringae";"PSDMSX";"Incluye diferentes patovares de Pseudomonas syringae como pv. syringae, pv. tomato, pv. actinidiae pv. phaseolicola, pv. Pisi, pv.maculicola y pv. morsprunorum..";03/07/2024;03/07/2024;
"558";"9.9.4";"Mancha bacteriana de las setas, Pseudomonas tolaasii";"Pseudomonas tolaasii";"PSDMTL";"También conocido comúnmente como mancha bacteriana del champiñón.";03/07/2024;03/07/2024;
"559";"9.9.5";"Pseudomonas viridiflava";"Pseudomonas viridiflava";"PSDMVF";;03/07/2024;03/07/2024;
"560";"9.10";"Ralstonia spp.";"Ralstonia spp.";"1RALSG";;03/07/2024;03/07/2024;
"561";"9.10.1";"Podredumbre parda de la patata, Ralstonia solanacearum";"Ralstonia solanacearum";"RALSSO";;03/07/2024;03/07/2024;
"562";"9.11";"Xanthomonas spp.";"Xanthomonas spp.";"1XANTG";;03/07/2024;03/07/2024;
